Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
89959 (2002 NT7),1.73547009,0.528646559,42.3327398,300.674454,132.0764704,0.818,2.65,2.29,16.4,0.000353,74,APO*,89959 (2002 NT7)
90075 (2002 VU94),2.13357194,0.576100581,8.9169734,30.6148978,226.7978244,0.9044,3.36,3.12,15.2,0.030697,169,APO*,90075 (2002 VU94)
90403 (2003 YE45),1.23452679,0.280108313,19.0037389,306.8153886,286.2763582,0.8887,1.58,1.37,17.6,0.035945,153,APO*,90403 (2003 YE45)
90416 (2003 YK118),1.69505159,0.492131176,7.8390904,233.054884,326.904177,0.8609,2.53,2.21,18.7,0.001363,118,APO*,90416 (2003 YK118)
99248 (2001 KY66),1.86620434,0.507566718,10.6129611,61.5158311,284.191122,0.919,2.81,2.55,16.4,0.047397,123,APO*,99248 (2001 KY66)
99942 Apophis,0.92227889,0.191079522,3.3312902,126.3936406,204.4571896,0.7461,1.1,0.89,19.7,0.000659,193,ATE*,99942 Apophis
100085 (1992 UY4),2.65571065,0.619775204,2.650886,41.4375503,305.8941994,1.0098,4.3,4.33,17.8,0.024639,91,APO*,100085 (1992 UY4)
101869 (1999 MM),1.62457146,0.610905603,4.7636697,268.6839903,111.0374804,0.6321,2.62,2.07,19.3,0.001582,56,APO*,101869 (1999 MM)
101955 Bennu,1.12639103,0.203745111,6.0349392,66.2230686,2.0608678,0.8969,1.36,1.2,20.9,0.003223,92,APO*,101955 Bennu
103067 (1999 XA143),1.8434841,0.581807914,38.5432708,103.9955549,116.6520417,0.7709,2.92,2.5,16.8,0.041626,90,APO*,103067 (1999 XA143)
111253 (2001 XU10),1.75369181,0.439373763,42.019976,6.928455,310.1666051,0.9832,2.52,2.32,15.2,0.028586,170,APO*,111253 (2001 XU10)
136617 (1994 CC),1.63771553,0.416939233,4.68072,24.8449053,268.5612628,0.9549,2.32,2.1,17.7,0.015859,147,APO*,136617 (1994 CC)
136618 (1994 CN2),1.57302833,0.395122538,1.4389817,248.2806609,99.3392859,0.9515,2.19,1.97,16.8,0.012564,136,APO*,136618 (1994 CN2)
136795 (1997 BQ),1.7456876,0.478422911,11.0059716,147.4241539,50.2094469,0.9105,2.58,2.31,18.1,0.035939,40,APO*,136795 (1997 BQ)
136849 (1998 CS1),1.49150121,0.578347929,7.7893085,97.6446608,110.8023185,0.6289,2.35,1.82,17.7,0.019347,87,APO*,136849 (1998 CS1)
137108 (1999 AN10),1.45870597,0.56217189,39.9322227,268.3023625,314.404368,0.6387,2.28,1.76,17.9,0.000961,58,APO*,137108 (1999 AN10)
137120 (1999 BJ8),1.89941138,0.550171908,8.9917108,221.8229937,339.6251288,0.8544,2.94,2.62,18.1,0.024209,47,APO*,137120 (1999 BJ8)
137126 (1999 CF9),1.77291981,0.600255848,5.5471058,90.2147293,157.1066703,0.7087,2.84,2.36,18,0.019149,130,APO*,137126 (1999 CF9)
137427 (1999 TF211),2.4482075,0.610239192,39.1904198,161.7994632,348.1521086,0.9542,3.94,3.83,15.2,0.019888,93,APO*,137427 (1999 TF211)
138127 (2000 EE14),0.66184822,0.533048494,26.4631797,197.8357937,155.7707423,0.3091,1.01,0.54,17.1,0.023119,90,ATE*,138127 (2000 EE14)
138175 (2000 EE104),1.00475884,0.293442558,5.2418522,280.9139886,25.940294,0.7099,1.3,1.01,20.3,0.008586,147,APO*,138175 (2000 EE104)
138404 (2000 HA24),1.13978947,0.318794798,2.1691489,142.0394276,309.5800459,0.7764,1.5,1.22,19.1,0.027305,63,APO*,138404 (2000 HA24)
138524 (2000 OJ8),2.3596024,0.566491502,6.2357659,181.2246958,226.5903685,1.0229,3.7,3.62,16.8,0.033249,151,AMO*,138524 (2000 OJ8)
138727 (2000 SU180),2.10293914,0.607313294,11.8883762,135.9877687,328.1074115,0.8258,3.38,3.05,19,0.0363,48,APO*,138727 (2000 SU180)
138971 (2001 CB21),1.0345787,0.333501846,7.9019729,271.7388615,353.766518,0.6895,1.38,1.05,18.4,0.023956,166,APO*,138971 (2001 CB21)
139211 (2001 GN2),1.85938168,0.452408234,26.0716054,3.3795598,173.577026,1.0182,2.7,2.54,18,0.024369,48,AMO*,139211 (2001 GN2)
139359 (2001 ME1),2.6469899,0.867712072,5.8339266,300.871671,85.8744576,0.3502,4.94,4.31,16.6,0.011911,72,APO*,139359 (2001 ME1)
139622 (2001 QQ142),1.42286438,0.311234118,9.3153566,337.8394373,83.2785294,0.98,1.87,1.7,18.4,0.011964,66,APO*,139622 (2001 QQ142)
140039 (2001 SO73),1.82052363,0.568849849,4.8558519,30.8637523,197.231098,0.7849,2.86,2.46,18.4,0.046097,53,APO*,140039 (2001 SO73)
140158 (2001 SX169),1.34672258,0.460763873,2.5138262,42.6403077,126.9118307,0.7262,1.97,1.56,18.3,0.026117,68,APO*,140158 (2001 SX169)
140288 (2001 SN289),1.78396986,0.507769225,53.2315194,225.5958594,357.1140458,0.8781,2.69,2.38,16.7,0.017358,66,APO*,140288 (2001 SN289)
141053 (2001 XT1),1.52803368,0.579635167,2.7332407,31.2039544,316.404286,0.6423,2.41,1.89,18.8,0.041337,37,APO*,141053 (2001 XT1)
141432 (2002 CQ11),0.97845027,0.428305368,2.463284,272.7837983,81.3562959,0.5594,1.4,0.97,20,0.019314,101,ATE*,141432 (2002 CQ11)
141495 (2002 EZ11),1.11414818,0.802291279,2.3537491,317.6977026,51.9521174,0.2203,2.01,1.18,18.3,0.001043,145,APO*,141495 (2002 EZ11)
141525 (2002 FV5),1.08683929,0.724717325,34.030674,308.099715,38.8689672,0.2992,1.87,1.13,17.9,0.035615,82,APO*,141525 (2002 FV5)
141527 (2002 FG7),1.51387922,0.626701561,9.2078562,247.5046196,187.6279494,0.5651,2.46,1.86,18.9,0.041878,67,APO*,141527 (2002 FG7)
