Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
154590 (2003 MA3),1.10539094,0.40229667,1.4131571,228.9217589,152.6536533,0.6607,1.55,1.16,21.7,0.013093,25,APO*,154590 (2003 MA3)
155338 (2006 MZ1),1.56916671,0.482792986,2.0803788,138.5669528,226.6730903,0.8116,2.33,1.97,20.5,0.012928,23,APO*,155338 (2006 MZ1)
159504 (2000 WO67),2.4324612,0.618147442,9.6966371,237.713371,107.716849,0.9288,3.94,3.79,17,0.048147,129,APO*,159504 (2000 WO67)
159857 (2004 LJ1),2.26486159,0.593192518,23.1174869,139.9098358,235.5987512,0.9214,3.61,3.41,15.4,0.018043,208,APO*,159857 (2004 LJ1)
161989 Cacus,1.12314234,0.213970914,26.0605934,102.1658396,161.2427825,0.8828,1.36,1.19,17.2,0.016073,169,APO*,161989 Cacus
162000 (1990 OS),1.67834992,0.462994806,1.0942572,21.4505523,346.6161438,0.9013,2.46,2.17,19.4,0.009017,88,APO*,162000 (1990 OS)
162039 (1996 JG),1.80169907,0.660745917,5.2811939,280.2052259,52.8880444,0.6112,2.99,2.42,19.5,0.012083,38,APO*,162039 (1996 JG)
162082 (1998 HL1),1.24629099,0.187271434,20.0483786,148.5070724,213.5699175,1.0129,1.48,1.39,18.9,0.042334,63,APO*,162082 (1998 HL1)
162116 (1998 SA15),1.91614571,0.557565681,7.0999021,331.2993387,114.2863083,0.8478,2.98,2.65,19.4,0.04589,25,APO*,162116 (1998 SA15)
162120 (1998 SH36),1.08803189,0.570897031,2.13157,278.7226404,217.9402258,0.4669,1.71,1.13,20.6,0.011964,45,APO*,162120 (1998 SH36)
162162 (1999 DB7),1.2058081,0.194823996,10.8410071,29.8665785,157.6177694,0.9709,1.44,1.32,19.9,0.001948,43,APO*,162162 (1999 DB7)
162173 Ryugu,1.18955571,0.19020842,5.8835548,211.439657,251.5947538,0.9633,1.42,1.3,19.3,0.001116,116,APO*,162173 Ryugu
162183 (1999 NB5),2.0732682,0.535199893,1.4307703,123.1281721,235.3921052,0.9637,3.18,2.99,21,0.013095,44,APO*,162183 (1999 NB5)
162210 (1999 SM5),2.29992239,0.694368749,5.2011761,319.1103457,327.7633871,0.7029,3.9,3.49,19.1,0.049374,61,APO*,162210 (1999 SM5)
162361 (2000 AF6),0.87777535,0.411394846,2.6965796,200.1458816,110.7856611,0.5167,1.24,0.82,20.1,0.023644,79,ATE*,162361 (2000 AF6)
162416 (2000 EH26),1.85375805,0.47845758,0.3984625,19.0907016,215.2368234,0.9668,2.74,2.52,21.7,0.001032,42,APO*,162416 (2000 EH26)
162421 (2000 ET70),0.9466299,0.123717505,22.323569,46.1102813,331.1563993,0.8295,1.06,0.92,18,0.030061,90,ATE*,162421 (2000 ET70)
162422 (2000 EV70),1.20732003,0.531123847,1.3989416,314.49058,108.9359404,0.5661,1.85,1.33,20.6,0.011904,64,APO*,162422 (2000 EV70)
162474 (2000 LB16),1.24086975,0.35754513,50.7090121,285.2674953,80.8686475,0.7972,1.68,1.38,18.5,0.00478,53,APO*,162474 (2000 LB16)
162510 (2000 QW69),1.37615412,0.302169717,38.1519784,220.6826869,344.359997,0.9603,1.79,1.61,17.5,0.024569,110,APO*,162510 (2000 QW69)
162567 (2000 RW37),1.2474931,0.250138321,13.7468454,133.2381822,333.333143,0.9354,1.56,1.39,19.9,0.007863,54,APO*,162567 (2000 RW37)
162687 (2000 UH1),1.87602308,0.543016443,14.7907792,40.7891628,76.2380412,0.8573,2.89,2.57,19.2,0.033247,19,APO*,162687 (2000 UH1)
162695 (2000 UL11),2.12101388,0.636852405,2.1891119,151.6243217,333.3801554,0.7702,3.47,3.09,20.1,0.023073,48,APO*,162695 (2000 UL11)
162783 (2000 YJ11),1.31313819,0.232153412,7.2627953,339.1005183,64.9648293,1.0083,1.62,1.5,20.8,0.030614,32,APO*,162783 (2000 YJ11)
162825 (2001 BO61),1.77414241,0.743328527,9.0759202,78.7381507,159.8680908,0.4554,3.09,2.36,18,0.014335,66,APO*,162825 (2001 BO61)
162882 (2001 FD58),1.09212041,0.575343007,6.4986917,45.9234831,341.2285402,0.4638,1.72,1.14,18.8,0.032765,67,APO*,162882 (2001 FD58)
162922 (2001 OY13),1.31826845,0.381784216,10.2986456,291.1920646,284.2519441,0.815,1.82,1.51,20.8,0.013027,39,APO*,162922 (2001 OY13)
162979 (2001 RA12),2.03674082,0.543944698,17.0823283,326.0294075,311.6131789,0.9289,3.14,2.91,18,0.02028,25,APO*,162979 (2001 RA12)
162998 (2001 SK162),1.92564347,0.473889569,1.6790882,186.3193757,285.4316635,1.0131,2.84,2.67,17.9,0.030049,87,APO*,162998 (2001 SK162)
163014 (2001 UA5),1.78684063,0.445525351,9.9484373,27.5318143,58.6899683,0.9908,2.58,2.39,17.5,0.031996,50,APO*,163014 (2001 UA5)
163026 (2001 XR30),1.29703182,0.365312959,11.858859,294.3982612,247.9119874,0.8232,1.77,1.48,21,0.02153,15,APO*,163026 (2001 XR30)
163051 (2001 YJ4),2.27137662,0.569416607,9.2813948,322.334588,247.8489501,0.978,3.56,3.42,16.3,0.027079,126,APO*,163051 (2001 YJ4)
163067 (2002 AP3),2.04307587,0.588210021,7.5993528,117.6424657,87.449848,0.8413,3.24,2.92,19.8,0.01074,11,APO*,163067 (2002 AP3)
163132 (2002 CU11),1.21957565,0.295157745,48.7802078,110.5222109,157.7641458,0.8596,1.58,1.35,18.5,0.000437,113,APO*,163132 (2002 CU11)
163243 (2002 FB3),0.7615492,0.601766423,20.2774487,148.3011611,203.6057605,0.3033,1.22,0.66,16.5,0.003467,116,ATE*,163243 (2002 FB3)
163249 (2002 GT),1.34441209,0.334940532,6.9687367,135.1125527,201.7598426,0.8941,1.79,1.56,18.5,0.015379,169,APO*,163249 (2002 GT)
163348 (2002 NN4),0.87646456,0.434312735,5.4147051,222.2402182,259.5050472,0.4958,1.26,0.82,20.1,0.006972,119,ATE*,163348 (2002 NN4)
163364 (2002 OD20),1.36563353,0.369116688,4.1883785,275.2445173,259.9812302,0.8616,1.87,1.6,18.8,0.026354,96,APO*,163364 (2002 OD20)
163373 (2002 PZ39),1.46784544,0.546232936,1.6686698,259.9501403,328.9684966,0.6661,2.27,1.78,18.9,0.002773,72,APO*,163373 (2002 PZ39)
163683 (2002 YP2),1.5768795,0.688267321,20.6234439,281.3708587,52.5165368,0.4916,2.66,1.98,19,0.020524,38,APO*,163683 (2002 YP2)
163697 (2003 EF54),1.60907952,0.472825898,2.9509941,353.6844794,268.5130697,0.8483,2.37,2.04,20,0.041846,62,APO*,163697 (2003 EF54)
163818 (2003 RX7),1.22920278,0.354445396,10.3897306,245.8372252,241.0788434,0.7935,1.66,1.36,18.4,0.026257,83,APO*,163818 (2003 RX7)
163899 (2003 SD220),0.82754461,0.210604499,8.4590087,326.4694561,274.0525135,0.6533,1,0.75,17.3,0.017927,79,ATE*,163899 (2003 SD220)
164121 (2003 YT1),1.10960395,0.291918486,44.0634347,91.0584439,38.3352025,0.7857,1.43,1.17,16.2,0.002488,106,APO*,164121 (2003 YT1)
164202 (2004 EW),0.9883587,0.27917046,4.6693855,56.0887647,342.9558644,0.7124,1.26,0.98,20.8,0.023871,71,ATE*,164202 (2004 EW)
164207 (2004 GU9),1.00129357,0.136151022,13.6497135,280.1951607,38.6108381,0.865,1.14,1,21.1,1E-05,54,APO*,164207 (2004 GU9)
164211 (2004 JA27),1.6660919,0.423115649,2.2582333,270.1988565,67.7835932,0.9611,2.37,2.15,19.4,0.03277,68,APO*,164211 (2004 JA27)
164216 (2004 OT11),2.15153119,0.565078481,19.9365158,326.2744243,295.1207245,0.9357,3.37,3.16,17.2,0.016235,78,APO*,164216 (2004 OT11)
164400 (2005 GN59),1.65643512,0.467803072,6.6275632,202.9229621,219.0137972,0.8815,2.43,2.13,17.4,0.049456,127,APO*,164400 (2005 GN59)
168318 (1989 DA),2.16264175,0.542610192,6.4925142,139.7971819,349.1923989,0.9892,3.34,3.18,18.9,0.044146,22,APO*,168318 (1989 DA)
170086 (2002 XR14),1.90565988,0.625549676,2.1301051,120.1094069,75.6677061,0.7136,3.1,2.63,18,0.011041,68,APO*,170086 (2002 XR14)
170903 (2004 WS2),1.33641435,0.603212477,8.2630359,115.3192495,87.7651789,0.5303,2.14,1.54,18.1,0.029763,94,APO*,170903 (2004 WS2)
171576 (1999 VP11),1.08434693,0.583486722,17.2932829,61.5941107,208.1212715,0.4516,1.72,1.13,18.5,0.001695,52,APO*,171576 (1999 VP11)
171839 (2001 JM1),1.46095458,0.311052623,17.07295,321.901977,226.691909,1.0065,1.92,1.77,19.1,0.046237,65,APO*,171839 (2001 JM1)
172678 (2003 YM137),2.5920636,0.689893554,2.7024544,127.2055124,77.0592775,0.8038,4.38,4.17,18.7,0.006561,51,APO*,172678 (2003 YM137)
173561 (2000 YV137),1.44780814,0.310829569,28.0022372,211.34891,137.2595873,0.9978,1.9,1.74,18.3,0.020093,75,APO*,173561 (2000 YV137)
175706 (1996 FG3),1.05403613,0.349810051,1.991217,24.0302318,299.7093973,0.6853,1.42,1.08,18.4,0.028324,142,APO*,175706 (1996 FG3)
175729 (1998 BB10),1.27186568,0.424766937,11.5347537,259.168245,124.3333383,0.7316,1.81,1.43,20.3,0.022885,28,APO*,175729 (1998 BB10)
177049 (2003 EE16),1.41753203,0.614332643,0.6502713,259.6220564,127.0936474,0.5467,2.29,1.69,19.7,0.00011,78,APO*,177049 (2003 EE16)
177614 (2004 HK33),1.88844805,0.520212718,5.4382801,221.4342453,104.7932807,0.9061,2.87,2.6,17.5,0.008636,77,APO*,177614 (2004 HK33)
179806 (2002 TD66),1.85788654,0.534118403,4.9210337,125.6536228,335.7254739,0.8656,2.85,2.53,20.2,0.006112,61,APO*,179806 (2002 TD66)
180186 (2003 QZ30),2.41956026,0.631288288,8.5690876,243.0463632,178.1305545,0.8921,3.95,3.76,17.4,0.045614,80,APO*,180186 (2003 QZ30)
184266 (2004 VW14),2.11806394,0.600684667,3.8511818,42.3246212,101.166459,0.8458,3.39,3.08,19.4,0.009875,74,APO*,184266 (2004 VW14)
185851 (2000 DP107),1.36528276,0.376520934,8.6716227,289.7494626,358.6977026,0.8512,1.88,1.6,18.2,0.015388,221,APO*,185851 (2000 DP107)
186844 (2004 GA1),2.4309236,0.672283433,7.7756699,54.6007675,261.5494897,0.7967,4.07,3.79,17.4,0.017399,78,APO*,186844 (2004 GA1)
187040 (2005 JS108),1.35621281,0.322667243,6.0403243,243.8653283,110.8827336,0.9186,1.79,1.58,19.2,0.019255,101,APO*,187040 (2005 JS108)
189040 (2000 MU1),1.37300892,0.382592317,13.0940373,63.6395082,130.099971,0.8477,1.9,1.61,19.9,0.010204,61,APO*,189040 (2000 MU1)
189865 (2003 NC),1.4056484,0.805455088,21.616559,224.1918374,288.5384005,0.2735,2.54,1.67,19.4,0.038735,34,APO*,189865 (2003 NC)
192559 (1998 VO),1.07455767,0.226513661,10.0612537,75.9465412,228.1762332,0.8312,1.32,1.11,20.4,0.026538,39,APO*,192559 (1998 VO)
192563 (1998 WZ6),1.45210657,0.408012909,24.7552338,110.6726115,68.7476994,0.8596,2.04,1.75,17.3,0.035073,96,APO*,192563 (1998 WZ6)
192642 (1999 RD32),2.64441197,0.769564656,6.7914119,299.8685243,310.0601702,0.6094,4.68,4.3,16.3,0.049265,131,APO*,192642 (1999 RD32)
194006 (2001 SG10),1.44856893,0.424161148,4.2571738,101.5735196,184.9859359,0.8341,2.06,1.74,20.4,0.017489,54,APO*,194006 (2001 SG10)
194268 (2001 UY4),1.45294049,0.787380073,5.4360992,107.6947902,160.8015251,0.3089,2.6,1.75,18.3,0.026203,64,APO*,194268 (2001 UY4)
196068 (2002 TW55),2.11705742,0.664501529,59.3784459,251.1115771,33.607093,0.7103,3.52,3.08,18,0.027985,37,APO*,196068 (2002 TW55)
196625 (2003 RM10),1.84699351,0.591456564,13.7253729,287.1971828,341.3741626,0.7546,2.94,2.51,20.2,0.006328,41,APO*,196625 (2003 RM10)
197588 (2004 HE12),1.84533234,0.466053921,42.7020912,162.1929999,338.0723608,0.9853,2.71,2.51,17.2,0.010154,28,APO*,197588 (2004 HE12)
199003 (2005 WJ56),0.95898678,0.152020308,21.6146202,297.68451,288.0614994,0.8132,1.1,0.94,18.1,0.02312,96,ATE*,199003 (2005 WJ56)
199145 (2005 YY128),1.64950494,0.731516226,3.769065,314.7115277,300.3613849,0.4429,2.86,2.12,18.2,0.029328,76,APO*,199145 (2005 YY128)
199801 (2007 AE12),1.6847938,0.56934321,2.2849234,86.8926161,245.5331724,0.7256,2.64,2.19,19.5,0.006515,36,APO*,199801 (2007 AE12)
200840 (2001 XN254),2.32459947,0.558338548,1.9403756,278.2497614,264.548323,1.0267,3.62,3.54,17.6,0.044673,53,AMO*,200840 (2001 XN254)
202683 (2006 US216),0.63696488,0.562426064,3.4316501,56.3364935,193.3136505,0.2787,1,0.51,19.8,0.04381,27,ATE*,202683 (2006 US216)
205744 (2002 BK25),2.29870268,0.747576629,11.9313506,103.8398793,156.2159127,0.5802,4.02,3.49,18.2,0.045569,27,APO*,205744 (2002 BK25)
206378 (2003 RB),1.78863438,0.438983767,6.7254499,43.9566775,317.2097703,1.0035,2.57,2.39,18.7,0.045162,170,APO*,206378 (2003 RB)
206910 (2004 NL8),2.56574803,0.721099856,4.9744375,270.9736221,157.5851633,0.7156,4.42,4.11,17.1,0.02785,108,APO*,206910 (2004 NL8)
207398 (2006 AS2),2.09361036,0.639055859,2.5931216,79.5551496,125.9948602,0.7557,3.43,3.03,20.4,0.010128,70,APO*,207398 (2006 AS2)
207945 (1991 JW),1.03904396,0.118663396,8.7102878,301.9140031,53.8752269,0.9157,1.16,1.06,19.5,0.019697,70,APO*,207945 (1991 JW)
208023 (1999 AQ10),0.93410337,0.235640001,6.4980343,300.5343819,327.1287422,0.714,1.15,0.9,20.4,0.005973,91,ATE*,208023 (1999 AQ10)
208115 (2000 CT101),1.29935149,0.354793067,23.2940501,292.3742744,135.5932842,0.8384,1.76,1.48,20.7,0.01211,28,APO*,208115 (2000 CT101)
212546 (2006 SV19),2.13237563,0.515377068,7.354469,182.5580166,116.2264819,1.0334,3.23,3.11,17.7,0.018161,101,AMO*,212546 (2006 SV19)
214869 (2007 PA8),2.82491236,0.661232196,1.9841381,292.3288112,142.6267642,0.957,4.69,4.75,16.4,0.024477,157,APO*,214869 (2007 PA8)
215588 (2003 HF2),1.1134591,0.675484294,3.0542457,230.8936341,189.992606,0.3613,1.87,1.17,19.4,0.003227,59,APO*,215588 (2003 HF2)
216115 (2006 SU19),1.5267567,0.586466219,2.091564,10.5550384,152.2551369,0.6314,2.42,1.89,18.8,0.03509,51,APO*,216115 (2006 SU19)
216258 (2006 WH1),1.67365804,0.485192168,2.6421428,263.2746659,240.6245701,0.8616,2.49,2.17,20.2,0.023626,48,APO*,216258 (2006 WH1)
216523 (2001 HY7),0.91389473,0.412080064,5.2085705,211.1154734,205.2458492,0.5373,1.29,0.87,20.6,0.035498,65,ATE*,216523 (2001 HY7)
216985 (2000 QK130),1.1805774,0.261773291,4.7226541,66.3073297,173.9263014,0.8715,1.49,1.28,20.9,0.000218,40,APO*,216985 (2000 QK130)
217430 (2005 SN25),1.23005178,0.270609764,13.0098374,45.1170552,168.3265671,0.8972,1.56,1.36,19.6,0.02785,53,APO*,217430 (2005 SN25)
217628 Lugh,2.55086194,0.703233048,4.0228205,310.2327508,183.1229347,0.757,4.34,4.07,16.3,0.019296,19,APO*,217628 Lugh
220839 (2004 VA),1.90063603,0.596226695,3.6973593,43.1346665,109.6616777,0.7674,3.03,2.62,17.3,0.024014,79,APO*,220839 (2004 VA)
221455 (2006 BC10),2.01569576,0.658366642,0.9298402,233.9620143,21.2729583,0.6886,3.34,2.86,19.4,0.006353,76,APO*,221455 (2006 BC10)
221980 (1996 EO),1.34126821,0.400660196,21.5973229,64.6320504,356.5216459,0.8039,1.88,1.55,19,0.033178,23,APO*,221980 (1996 EO)
226514 (2003 UX34),1.09510216,0.615858327,2.5646109,218.4873422,4.3762319,0.4207,1.77,1.15,20,0.015173,42,APO*,226514 (2003 UX34)
226554 (2003 WR21),1.11882955,0.261495347,9.2740286,107.9904016,85.8799455,0.8263,1.41,1.18,19.5,0.029294,59,APO*,226554 (2003 WR21)
228368 (2000 WK10),1.47866247,0.701829469,14.735334,244.4861692,57.9894235,0.4409,2.52,1.8,18.4,0.022987,44,APO*,228368 (2000 WK10)
230111 (2001 BE10),0.82315542,0.369147978,17.5077299,30.5712724,297.798535,0.5193,1.13,0.75,19.1,0.041594,112,ATE*,230111 (2001 BE10)
230549 (2003 BH),1.45641493,0.356042059,13.1100451,313.3147695,119.8100105,0.9379,1.97,1.76,20.6,0.028883,43,APO*,230549 (2003 BH)
231937 (2001 FO32),1.70122583,0.825927081,38.9619268,123.2754404,181.7858809,0.2961,3.11,2.22,17.7,0.003438,51,APO*,231937 (2001 FO32)
232691 (2004 AR1),1.5764986,0.469926802,9.0789871,50.1963635,336.5844654,0.8357,2.32,1.98,19.8,0.031425,91,APO*,232691 (2004 AR1)
234145 (2000 EW70),0.93766413,0.321270371,5.4317333,125.6190319,178.1668562,0.6364,1.24,0.91,21.3,0.010156,56,ATE*,234145 (2000 EW70)
235756 (2004 VC),1.13334857,0.258799175,39.1466675,94.202133,194.1763542,0.84,1.43,1.21,18.7,0.036212,54,APO*,235756 (2004 VC)
242216 (2003 RN10),2.23063772,0.540934789,39.6343636,4.5710178,267.2117319,1.024,3.44,3.33,15.7,0.009505,85,AMO*,242216 (2003 RN10)
242450 (2004 QY2),1.08396439,0.477284036,37.0266601,104.9607166,295.3129787,0.5666,1.6,1.13,14.7,0.04652,96,APO*,242450 (2004 QY2)
242643 (2005 NZ6),1.83413084,0.864335487,8.4884583,48.2864429,39.4404931,0.2488,3.42,2.48,17.4,0.008068,72,APO*,242643 (2005 NZ6)
242708 (2005 UK1),2.50225096,0.695338658,0.7900687,345.9664267,180.3486329,0.7623,4.24,3.96,18.1,0.01101,68,APO*,242708 (2005 UK1)
243566 (1995 SA),2.45813474,0.641444751,19.9499042,52.7577258,170.3741218,0.8814,4.03,3.85,17.4,0.032733,88,APO*,243566 (1995 SA)
244977 (2004 BE68),1.76000448,0.444805462,15.7474044,191.1730687,210.929,0.9771,2.54,2.33,18.4,0.010634,59,APO*,244977 (2004 BE68)
247360 (2001 XU),2.57357456,0.837109574,19.0646089,285.9432023,261.1052699,0.4192,4.73,4.13,19.2,0.004821,20,APO*,247360 (2001 XU)
250620 (2005 GE59),2.11015566,0.600712717,16.0942673,242.8507488,194.9040055,0.8426,3.38,3.07,18,0.034564,112,APO*,250620 (2005 GE59)
250680 (2005 QC5),0.89308634,0.364546493,9.4502707,108.6875137,48.1032796,0.5675,1.22,0.84,19.8,0.047262,29,ATE*,250680 (2005 QC5)
250706 (2005 RR6),2.97390547,0.695902546,6.9530745,58.982826,28.113454,0.9044,5.04,5.13,18.5,0.040448,99,APO*,250706 (2005 RR6)
251346 (2007 SJ),2.01439031,0.534269474,8.19464,175.0056339,306.843051,0.9382,3.09,2.86,16.9,0.043478,164,APO*,251346 (2007 SJ)
251722 (1997 US2),1.6743721,0.661380007,3.1704851,100.1957291,66.0116247,0.567,2.78,2.17,19.7,0.006084,39,APO*,251722 (1997 US2)
252399 (2001 TX44),0.87470168,0.546012344,15.2089583,136.0037824,57.8041994,0.3971,1.35,0.82,19.2,0.00919,27,ATE*,252399 (2001 TX44)
253841 (2003 YG118),2.28621992,0.641865532,8.0951804,232.5431758,348.2463969,0.8188,3.75,3.46,17.1,0.008853,91,APO*,253841 (2003 YG118)
255071 (2005 UH6),1.00117563,0.632469635,2.6405376,200.1913381,19.3183236,0.368,1.63,1,18.3,0.023351,42,APO*,255071 (2005 UH6)
260141 (2004 QT24),1.13290699,0.251975319,17.7470372,76.5681683,36.1389625,0.8474,1.42,1.21,18.3,0.008158,90,APO*,260141 (2004 QT24)
263976 (2009 KD5),1.04610711,0.26149357,13.4725855,294.3148108,104.5184158,0.7726,1.32,1.07,18.4,0.048824,148,APO*,263976 (2009 KD5)
264357 (2000 AZ93),0.74659262,0.360235562,8.5789289,8.031326,277.4305027,0.4776,1.02,0.65,21,0.021955,31,ATE*,264357 (2000 AZ93)
264993 (2003 DX10),1.37555079,0.410748199,3.1460367,193.8324183,61.9245973,0.8105,1.94,1.61,20.4,0.044815,41,APO*,264993 (2003 DX10)
265196 (2004 BW58),1.45489881,0.378737987,15.2074609,301.7671467,132.681855,0.9039,2.01,1.75,18.6,0.038405,56,APO*,265196 (2004 BW58)
265482 (2005 EE),1.12907265,0.327879681,6.1725687,284.7495565,110.8307764,0.7589,1.5,1.2,21.3,0.018269,21,APO*,265482 (2005 EE)
267131 (2000 EK26),2.40541585,0.659227392,15.6367142,305.4389491,126.5368355,0.8197,3.99,3.73,18.2,0.000333,37,APO*,267131 (2000 EK26)
267221 (2001 AD2),1.03906242,0.659729538,1.6600938,111.2659467,211.1726451,0.3536,1.72,1.06,19.8,0.008707,73,APO*,267221 (2001 AD2)
267337 (2001 VK5),1.2691975,0.514022364,19.4320065,263.9164371,54.247596,0.6168,1.92,1.43,17.9,0.000209,107,APO*,267337 (2001 VK5)
267494 (2002 JB9),2.71738299,0.784568715,46.757703,277.9490441,70.3316566,0.5854,4.85,4.48,15.9,0.030839,87,APO*,267494 (2002 JB9)
267720 (2003 CA),1.37918919,0.719705701,21.1553403,234.7525476,126.2312312,0.3866,2.37,1.62,18.9,0.049397,53,APO*,267720 (2003 CA)
267729 (2003 FC5),1.9164588,0.609023038,5.8260336,270.6601493,189.2418463,0.7493,3.08,2.65,18.3,0.033703,73,APO*,267729 (2003 FC5)
269690 (1996 RG3),2.00022707,0.604567053,3.571168,300.0884981,158.2322813,0.791,3.21,2.83,18.4,0.002588,50,APO*,269690 (1996 RG3)
275677 (2000 RS11),1.28024729,0.320522565,17.0970849,301.6587318,172.2023979,0.8699,1.69,1.45,19.1,0.008526,101,APO*,275677 (2000 RS11)
276033 (2002 AJ129),1.37102034,0.915014709,15.4640413,210.9740532,138.0950464,0.1165,2.63,1.61,18.7,0.005875,57,APO*,276033 (2002 AJ129)
277475 (2005 WK4),1.01063297,0.237431103,9.8432716,74.0560618,138.14211,0.7707,1.25,1.02,20.1,0.004167,88,APO*,277475 (2005 WK4)
277570 (2005 YP180),1.37219543,0.61732944,4.1114743,92.2779087,289.0511261,0.5251,2.22,1.61,19.3,0.016496,46,APO*,277570 (2005 YP180)
279744 (1998 KM3),1.67191627,0.611232916,4.6588211,85.1459568,263.1905848,0.65,2.69,2.16,19.8,0.002703,38,APO*,279744 (1998 KM3)
279816 (2000 JE5),1.23826267,0.400639833,50.7403127,285.1814723,41.2447522,0.7422,1.73,1.38,19.1,0.045678,26,APO*,279816 (2000 JE5)
281375 (2008 JV19),0.98561871,0.248368769,7.2246363,310.5264807,141.9915579,0.7408,1.23,0.98,20.8,0.041708,105,ATE*,281375 (2008 JV19)
285263 (1998 QE2),2.42332127,0.571811251,12.8586073,345.6373993,250.142951,1.0376,3.81,3.77,17.3,0.033957,140,AMO*,285263 (1998 QE2)
286080 (2001 TX1),1.04730672,0.482581415,2.7996665,354.1447604,159.2122739,0.5419,1.55,1.07,21.1,0.042349,20,APO*,286080 (2001 TX1)
289315 (2005 AN26),2.32437084,0.636385976,4.9270724,208.168867,175.9130983,0.8452,3.8,3.54,18.5,0.037568,31,APO*,289315 (2005 AN26)
290772 (2005 VC),2.08351698,0.594526025,4.4822888,290.2193857,228.0021999,0.8448,3.32,3.01,17.6,0.019423,33,APO*,290772 (2005 VC)
292220 (2006 SU49),1.41260416,0.312039932,2.518612,198.9783957,303.1438965,0.9718,1.85,1.68,19.5,0.000177,57,APO*,292220 (2006 SU49)
294739 (2008 CM),1.56611957,0.408363434,36.0030772,130.6407415,279.5833935,0.9266,2.21,1.96,17.2,0.044108,183,APO*,294739 (2008 CM)
297274 (1996 SK),2.43357181,0.794570821,1.9637574,284.33454,197.4267935,0.4999,4.37,3.8,16.8,0.004272,77,APO*,297274 (1996 SK)
297300 (1998 SC15),1.27285363,0.414452275,16.0821659,277.4159306,198.7470022,0.7453,1.8,1.44,19.2,0.000477,62,APO*,297300 (1998 SC15)
297418 (2000 SP43),0.8114226,0.466965259,10.3496052,224.385629,350.5891556,0.4325,1.19,0.73,18.6,0.018501,117,ATE*,297418 (2000 SP43)
301844 (1990 UA),1.64204047,0.526124933,0.9284586,202.5940242,104.2593067,0.7781,2.51,2.1,19.6,0.012169,39,APO*,301844 (1990 UA)
302169 (2001 TD45),0.79675676,0.777469595,25.3976258,212.4317231,30.2824655,0.1773,1.42,0.71,19.9,0.026656,21,ATE*,302169 (2001 TD45)
302831 (2003 FH),1.38908525,0.540596219,25.7995013,274.3494462,24.1604661,0.6382,2.14,1.64,19,0.013292,53,APO*,302831 (2003 FH)
303450 (2005 BY2),1.26889459,0.330524123,7.2872797,130.1943607,74.4848423,0.8495,1.69,1.43,20.5,0.040562,45,APO*,303450 (2005 BY2)
304330 (2006 SX217),1.41128668,0.310010219,21.0457671,176.1543413,32.6382972,0.9738,1.85,1.68,18.9,0.031101,65,APO*,304330 (2006 SX217)
306383 (1993 VD),0.87614215,0.551382628,2.0598066,253.7687437,2.6159598,0.3931,1.36,0.82,21.6,0.016882,28,ATE*,306383 (1993 VD)
307005 (2001 XP1),2.89096113,0.752798566,39.215548,246.3785435,268.066026,0.7146,5.07,4.92,18,0.016166,28,APO*,307005 (2001 XP1)
308242 (2005 GO21),0.75319368,0.339969341,24.9267937,156.6227547,272.694946,0.4971,1.01,0.65,16.5,0.043605,74,ATE*,308242 (2005 GO21)
308635 (2005 YU55),1.15707215,0.43049057,0.3404029,273.5791261,35.9279092,0.659,1.66,1.24,21.9,0.000488,123,APO*,308635 (2005 YU55)
310442 (2000 CH59),0.86303979,0.423262431,3.2672089,109.2563342,213.9413098,0.4977,1.23,0.8,19.9,0.023094,79,ATE*,310442 (2000 CH59)
310560 (2001 QL142),1.04922456,0.498975309,26.614294,72.0759404,165.5991728,0.5257,1.57,1.07,17.8,0.047223,73,APO*,310560 (2001 QL142)
311044 (2004 BB103),1.90743361,0.62190198,55.8624416,71.4972887,271.1140106,0.7212,3.09,2.63,17.1,0.033563,33,APO*,311044 (2004 BB103)
311066 (2004 DC),1.63365198,0.399594054,19.4501151,156.2098501,74.9488402,0.9809,2.29,2.09,18.1,0.008674,91,APO*,311066 (2004 DC)
312070 (2007 TA19),0.95409773,0.509479035,22.6302178,58.0189077,181.2117536,0.468,1.44,0.93,19.4,0.01876,32,ATE*,312070 (2007 TA19)
314082 Dryope,2.23770802,0.574816495,16.1401417,139.3165503,116.8261785,0.9514,3.52,3.35,17.5,0.02045,54,APO*,314082 Dryope
314212 (2005 NJ1),2.13252385,0.651427959,6.4652954,82.431386,316.3434417,0.7433,3.52,3.11,18.5,0.022488,44,APO*,314212 (2005 NJ1)
317255 (2002 DJ5),1.40042065,0.567626819,6.4403645,296.1304722,347.9679912,0.6055,2.2,1.66,19.8,0.039917,22,APO*,317255 (2002 DJ5)
325395 (2009 CQ5),0.93268459,0.091445684,18.6833175,118.1794084,278.6946234,0.8474,1.02,0.9,17.6,0.047936,49,ATE*,325395 (2009 CQ5)
326290 Akhenaten,0.87887535,0.440259338,3.3788019,309.3559724,53.4641404,0.4919,1.27,0.82,21.8,0.003401,48,ATE*,326290 Akhenaten
329437 (2002 OA22),0.93540576,0.243118481,6.8833137,318.6449027,174.1062023,0.708,1.16,0.9,19.4,0.035712,148,ATE*,329437 (2002 OA22)
